machine;particles;mpi_ranks;years;dt;mode;repeats;steps;frames;mean_total_seconds;min_total_seconds;max_total_seconds;mean_physics_seconds;mean_communication_seconds;mean_gather_seconds;mean_plotting_seconds;mean_gif_seconds;physics_percent_total;communication_percent_total;plotting_percent_total;speedup_vs_1_rank_same_machine;efficiency_vs_1_rank_same_machine_percent
LAPTOP-C1CDPADH;2000;1;1000.0;25.0;benchmark;3;40;2;18.156104;17.114908;19.332755;17.965509;0.000000;0.001597;0.000000;0.000000;98.95;0.00;0.00;1.0000;100.00
LAPTOP-C1CDPADH;2000;2;1000.0;25.0;benchmark;3;40;2;9.498943;8.221687;10.229885;9.151297;0.286309;0.005491;0.000000;0.000000;96.34;3.01;0.00;1.9114;95.57
LAPTOP-C1CDPADH;2000;4;1000.0;25.0;benchmark;3;40;2;4.010635;3.938670;4.118563;3.687850;0.274609;0.005518;0.000000;0.000000;91.95;6.85;0.00;4.5270;113.17
raw_tests;2000;4;10000.0;25.0;benchmark;1;400;11;86.275342;86.275342;86.275342;82.385969;3.961101;0.042118;0.000000;0.000000;95.49;4.59;0.00;0.0000;0.00
raw_tests;2000;4;10000.0;25.0;report;1;400;11;114.992987;114.992987;114.992987;89.750434;20.669321;0.071542;18.662629;2.518485;78.05;17.97;16.23;0.0000;0.00
raw_tests;2500;1;1000.0;25.0;benchmark;1;40;2;57.470135;57.470135;57.470135;57.032789;0.000000;0.002315;0.000000;0.000000;99.24;0.00;0.00;1.0000;100.00
raw_tests;5000;2;1000.0;25.0;benchmark;1;40;2;102.464675;102.464675;102.464675;101.820352;0.413418;0.009504;0.000000;0.000000;99.37;0.40;0.00;0.0000;0.00
raw_tests;10000;1;1000.0;25.0;benchmark;1;40;2;758.749953;758.749953;758.749953;758.161760;0.000000;0.035187;0.000000;0.000000;99.92;0.00;0.00;1.0000;100.00
raw_tests;10000;2;1000.0;25.0;benchmark;1;40;2;215.968661;215.968661;215.968661;215.662977;0.156372;0.006168;0.000000;0.000000;99.86;0.07;0.00;3.5132;175.66
raw_tests;10000;4;1000.0;25.0;benchmark;2;40;2;250.633694;239.547326;261.720062;248.682694;2.117103;0.058104;0.000000;0.000000;99.22;0.84;0.00;3.0273;75.68
raw_tests;50000;4;1000.0;25.0;benchmark;1;40;2;2892.660741;2892.660741;2892.660741;2885.224521;13.029882;0.262590;0.000000;0.000000;99.74;0.45;0.00;0.0000;0.00
