frame;year;path;particles;max_radius;energy_drift_percent;virial_ratio;represented_particles;visual_sample_particles;mode
41;294964028.77697843;gifs\scale_proxy_1e9\frames_scale_proxy\scale_frame_0041.png;250000;125.0;0.0;0.0;1000000000;250000;scale_proxy
42;302158273.38129497;gifs\scale_proxy_1e9\frames_scale_proxy\scale_frame_0042.png;250000;125.0;0.0;0.0;1000000000;250000;scale_proxy
43;309352517.98561156;gifs\scale_proxy_1e9\frames_scale_proxy\scale_frame_0043.png;250000;125.0;0.0;0.0;1000000000;250000;scale_proxy
44;316546762.58992803;gifs\scale_proxy_1e9\frames_scale_proxy\scale_frame_0044.png;250000;125.0;0.0;0.0;1000000000;250000;scale_proxy
45;323741007.19424456;gifs\scale_proxy_1e9\frames_scale_proxy\scale_frame_0045.png;250000;125.0;0.0;0.0;1000000000;250000;scale_proxy
46;330935251.79856116;gifs\scale_proxy_1e9\frames_scale_proxy\scale_frame_0046.png;250000;125.0;0.0;0.0;1000000000;250000;scale_proxy
47;338129496.4028777;gifs\scale_proxy_1e9\frames_scale_proxy\scale_frame_0047.png;250000;125.0;0.0;0.0;1000000000;250000;scale_proxy
48;345323741.0071943;gifs\scale_proxy_1e9\frames_scale_proxy\scale_frame_0048.png;250000;125.0;0.0;0.0;1000000000;250000;scale_proxy
49;352517985.61151075;gifs\scale_proxy_1e9\frames_scale_proxy\scale_frame_0049.png;250000;125.0;0.0;0.0;1000000000;250000;scale_proxy
50;359712230.21582735;gifs\scale_proxy_1e9\frames_scale_proxy\scale_frame_0050.png;250000;125.0;0.0;0.0;1000000000;250000;scale_proxy
51;366906474.8201439;gifs\scale_proxy_1e9\frames_scale_proxy\scale_frame_0051.png;250000;125.0;0.0;0.0;1000000000;250000;scale_proxy
52;374100719.4244604;gifs\scale_proxy_1e9\frames_scale_proxy\scale_frame_0052.png;250000;125.0;0.0;0.0;1000000000;250000;scale_proxy
53;381294964.028777;gifs\scale_proxy_1e9\frames_scale_proxy\scale_frame_0053.png;250000;125.0;0.0;0.0;1000000000;250000;scale_proxy
54;388489208.63309354;gifs\scale_proxy_1e9\frames_scale_proxy\scale_frame_0054.png;250000;125.0;0.0;0.0;1000000000;250000;scale_proxy
55;395683453.23741007;gifs\scale_proxy_1e9\frames_scale_proxy\scale_frame_0055.png;250000;125.0;0.0;0.0;1000000000;250000;scale_proxy
56;402877697.8417266;gifs\scale_proxy_1e9\frames_scale_proxy\scale_frame_0056.png;250000;125.0;0.0;0.0;1000000000;250000;scale_proxy
57;410071942.4460432;gifs\scale_proxy_1e9\frames_scale_proxy\scale_frame_0057.png;250000;125.0;0.0;0.0;1000000000;250000;scale_proxy
58;417266187.0503597;gifs\scale_proxy_1e9\frames_scale_proxy\scale_frame_0058.png;250000;125.0;0.0;0.0;1000000000;250000;scale_proxy
59;424460431.65467626;gifs\scale_proxy_1e9\frames_scale_proxy\scale_frame_0059.png;250000;125.0;0.0;0.0;1000000000;250000;scale_proxy
60;431654676.2589928;gifs\scale_proxy_1e9\frames_scale_proxy\scale_frame_0060.png;250000;125.0;0.0;0.0;1000000000;250000;scale_proxy
61;438848920.8633093;gifs\scale_proxy_1e9\frames_scale_proxy\scale_frame_0061.png;250000;125.0;0.0;0.0;1000000000;250000;scale_proxy
62;446043165.4676259;gifs\scale_proxy_1e9\frames_scale_proxy\scale_frame_0062.png;250000;125.0;0.0;0.0;1000000000;250000;scale_proxy
63;453237410.07194245;gifs\scale_proxy_1e9\frames_scale_proxy\scale_frame_0063.png;250000;125.0;0.0;0.0;1000000000;250000;scale_proxy
64;460431654.67625904;gifs\scale_proxy_1e9\frames_scale_proxy\scale_frame_0064.png;250000;125.0;0.0;0.0;1000000000;250000;scale_proxy
65;467625899.2805755;gifs\scale_proxy_1e9\frames_scale_proxy\scale_frame_0065.png;250000;125.0;0.0;0.0;1000000000;250000;scale_proxy
66;474820143.8848921;gifs\scale_proxy_1e9\frames_scale_proxy\scale_frame_0066.png;250000;125.0;0.0;0.0;1000000000;250000;scale_proxy
67;482014388.48920864;gifs\scale_proxy_1e9\frames_scale_proxy\scale_frame_0067.png;250000;125.0;0.0;0.0;1000000000;250000;scale_proxy
68;489208633.0935252;gifs\scale_proxy_1e9\frames_scale_proxy\scale_frame_0068.png;250000;125.0;0.0;0.0;1000000000;250000;scale_proxy
69;496402877.69784176;gifs\scale_proxy_1e9\frames_scale_proxy\scale_frame_0069.png;250000;125.0;0.0;0.0;1000000000;250000;scale_proxy
