frame;year;represented_particles;sample_particles;sample_weight;density_max;density_sum;camera_azim
50;411764705.882353;100000000;300000;333.333333;5.639056e+04;1.665104e+08;62.058824
51;420168067.226891;100000000;300000;333.333333;5.643206e+04;1.665104e+08;62.815126
52;428571428.571429;100000000;300000;333.333333;5.680011e+04;1.665104e+08;63.571429
53;436974789.915966;100000000;300000;333.333333;5.684588e+04;1.665104e+08;64.327731
54;445378151.260504;100000000;300000;333.333333;5.689243e+04;1.665103e+08;65.084034
55;453781512.605042;100000000;300000;333.333333;5.680723e+04;1.665103e+08;65.840336
56;462184873.949580;100000000;300000;333.333333;5.736370e+04;1.665103e+08;66.596639
57;470588235.294118;100000000;300000;333.333333;5.792976e+04;1.665103e+08;67.352941
58;478991596.638655;100000000;300000;333.333333;5.728097e+04;1.665103e+08;68.109244
59;487394957.983193;100000000;300000;333.333333;5.749549e+04;1.665104e+08;68.865546
60;495798319.327731;100000000;300000;333.333333;5.747439e+04;1.665103e+08;69.621849
61;504201680.672269;100000000;300000;333.333333;5.788023e+04;1.665103e+08;70.378151
62;512605042.016807;100000000;300000;333.333333;5.814789e+04;1.665104e+08;71.134454
63;521008403.361345;100000000;300000;333.333333;5.814421e+04;1.665103e+08;71.890756
64;529411764.705882;100000000;300000;333.333333;5.776033e+04;1.665103e+08;72.647059
65;537815126.050420;100000000;300000;333.333333;5.842109e+04;1.665104e+08;73.403361
66;546218487.394958;100000000;300000;333.333333;5.820101e+04;1.665104e+08;74.159664
67;554621848.739496;100000000;300000;333.333333;5.822298e+04;1.665103e+08;74.915966
68;563025210.084034;100000000;300000;333.333333;5.840147e+04;1.665104e+08;75.672269
69;571428571.428571;100000000;300000;333.333333;5.851074e+04;1.665104e+08;76.428571
70;579831932.773109;100000000;300000;333.333333;5.828548e+04;1.665103e+08;77.184874
71;588235294.117647;100000000;300000;333.333333;5.838946e+04;1.665103e+08;77.941176
72;596638655.462185;100000000;300000;333.333333;5.890920e+04;1.665104e+08;78.697479
73;605042016.806723;100000000;300000;333.333333;5.818833e+04;1.665103e+08;79.453782
74;613445378.151260;100000000;300000;333.333333;5.882357e+04;1.665103e+08;80.210084
75;621848739.495798;100000000;300000;333.333333;5.840387e+04;1.665103e+08;80.966387
76;630252100.840336;100000000;300000;333.333333;5.825466e+04;1.665104e+08;81.722689
77;638655462.184874;100000000;300000;333.333333;5.883159e+04;1.665103e+08;82.478992
78;647058823.529412;100000000;300000;333.333333;5.830899e+04;1.665104e+08;83.235294
79;655462184.873950;100000000;300000;333.333333;5.870914e+04;1.665104e+08;83.991597
80;663865546.218487;100000000;300000;333.333333;5.895228e+04;1.665104e+08;84.747899
81;672268907.563025;100000000;300000;333.333333;5.807812e+04;1.665103e+08;85.504202
82;680672268.907563;100000000;300000;333.333333;5.855749e+04;1.665103e+08;86.260504
83;689075630.252101;100000000;300000;333.333333;5.835099e+04;1.665103e+08;87.016807
84;697478991.596639;100000000;300000;333.333333;5.762970e+04;1.665104e+08;87.773109
85;705882352.941176;100000000;300000;333.333333;5.824076e+04;1.665103e+08;88.529412
86;714285714.285714;100000000;300000;333.333333;5.800537e+04;1.665104e+08;89.285714
87;722689075.630252;100000000;300000;333.333333;5.739613e+04;1.665103e+08;90.042017
88;731092436.974790;100000000;300000;333.333333;5.791555e+04;1.665103e+08;90.798319
89;739495798.319328;100000000;300000;333.333333;5.800828e+04;1.665103e+08;91.554622
90;747899159.663866;100000000;300000;333.333333;5.723362e+04;1.665103e+08;92.310924
91;756302521.008403;100000000;300000;333.333333;5.799154e+04;1.665103e+08;93.067227
92;764705882.352941;100000000;300000;333.333333;5.770864e+04;1.665104e+08;93.823529
93;773109243.697479;100000000;300000;333.333333;5.716050e+04;1.665103e+08;94.579832
94;781512605.042017;100000000;300000;333.333333;5.717553e+04;1.665103e+08;95.336134
95;789915966.386555;100000000;300000;333.333333;5.764930e+04;1.665103e+08;96.092437
96;798319327.731092;100000000;300000;333.333333;5.711918e+04;1.665104e+08;96.848739
97;806722689.075630;100000000;300000;333.333333;5.684598e+04;1.665104e+08;97.605042
98;815126050.420168;100000000;300000;333.333333;5.678300e+04;1.665103e+08;98.361345
99;823529411.764706;100000000;300000;333.333333;5.688193e+04;1.665104e+08;99.117647
100;831932773.109244;100000000;300000;333.333333;5.618224e+04;1.665103e+08;99.873950
101;840336134.453781;100000000;300000;333.333333;5.657465e+04;1.665103e+08;100.630252
102;848739495.798319;100000000;300000;333.333333;5.606131e+04;1.665104e+08;101.386555
103;857142857.142857;100000000;300000;333.333333;5.636336e+04;1.665103e+08;102.142857
104;865546218.487395;100000000;300000;333.333333;5.591161e+04;1.665104e+08;102.899160
105;873949579.831933;100000000;300000;333.333333;5.586500e+04;1.665104e+08;103.655462
106;882352941.176471;100000000;300000;333.333333;5.515828e+04;1.665104e+08;104.411765
107;890756302.521008;100000000;300000;333.333333;5.584130e+04;1.665103e+08;105.168067
108;899159663.865546;100000000;300000;333.333333;5.522545e+04;1.665103e+08;105.924370
109;907563025.210084;100000000;300000;333.333333;5.519362e+04;1.665104e+08;106.680672
110;915966386.554622;100000000;300000;333.333333;5.506323e+04;1.665104e+08;107.436975
111;924369747.899160;100000000;300000;333.333333;5.447349e+04;1.665104e+08;108.193277
112;932773109.243698;100000000;300000;333.333333;5.444318e+04;1.665103e+08;108.949580
113;941176470.588235;100000000;300000;333.333333;5.458209e+04;1.665103e+08;109.705882
114;949579831.932773;100000000;300000;333.333333;5.399344e+04;1.665104e+08;110.462185
115;957983193.277311;100000000;300000;333.333333;5.406165e+04;1.665103e+08;111.218487
116;966386554.621849;100000000;300000;333.333333;5.400287e+04;1.665104e+08;111.974790
117;974789915.966387;100000000;300000;333.333333;5.339631e+04;1.665103e+08;112.731092
118;983193277.310924;100000000;300000;333.333333;5.371238e+04;1.665104e+08;113.487395
119;991596638.655462;100000000;300000;333.333333;5.345320e+04;1.665103e+08;114.243697
120;1000000000.000000;100000000;300000;333.333333;5.288125e+04;1.665103e+08;115.000000
